GS,MIN,FGM,FGA,FTM,FTA,AST,STL,TOV,PTS,Player
82,2413,505,953,218,275,200,53,131,1357,Chet Holmgren
71,2106,551,1186,292,367,274,88,260,1522,Victor Wembanyama
68,2383,476,1083,143,173,175,66,132,1279,Brandon Miller
49,1739,197,438,75,99,87,66,84,527,Toumani Camara
44,2023,319,815,189,223,332,36,188,974,Keyonte George
42,1294,221,296,41,81,60,36,50,483,Dereck Lively II
38,1583,232,480,71,119,120,68,84,556,Ausar Thompson
33,1164,115,247,49,80,91,35,56,316,Anthony Black
32,1765,307,797,167,204,336,48,212,868,Scoot Henderson
29,1348,145,366,37,56,80,53,55,376,Kris Murray
28,1968,271,597,50,79,273,61,88,682,Brandin Podziemski
23,856,108,240,23,29,32,28,27,292,Taylor Hendricks
23,1388,239,446,106,155,163,78,90,592,Amen Thompson
21,1176,159,370,61,75,262,31,99,422,Vasilije Micić
20,2113,341,697,142,175,195,77,110,889,Jaime Jaquez Jr.
20,1214,230,499,69,93,67,33,52,617,Duop Reath
18,1233,241,563,115,153,59,28,65,699,GG Jackson II
17,1268,189,445,44,51,68,34,50,510,Gradey Dick
16,1130,233,332,74,132,82,29,49,540,Trayce Jackson-Davis
15,1715,188,432,92,131,110,57,87,532,Bilal Coulibaly
14,573,75,136,21,25,27,12,34,171,Trey Jemison
13,1692,217,442,29,37,120,76,45,561,Cason Wallace
12,633,54,161,19,25,62,12,31,155,Rayan Rupert
11,1351,219,512,58,66,236,44,90,586,Marcus Sasser
11,584,85,218,37,41,55,13,47,241,Brice Sensabaugh
10,1160,174,456,67,80,70,19,40,524,Jordan Hawkins
8,367,36,71,17,25,16,6,9,101,Tosan Evbuomwan
8,572,50,100,8,11,50,16,28,125,Andre Jackson Jr.
6,649,116,228,41,56,118,21,45,285,Craig Porter Jr.
6,403,55,124,33,36,40,10,25,153,Javon Freeman-Liberty
4,153,29,67,17,22,13,5,10,85,Tristan Vukcevic
4,370,50,93,21,30,18,8,15,133,Noah Clowney
3,284,25,52,10,15,24,8,6,69,Leaky Black
3,664,76,179,38,46,45,11,19,214,Jalen Wilson
2,107,9,34,0,2,2,3,3,19,Malik Williams
2,880,212,467,76,112,33,30,46,579,Cam Whitmore
1,122,18,35,7,10,2,6,5,48,Mãozinha Pereira
1,83,6,15,1,2,5,5,3,15,Jordan Walsh
1,268,32,84,4,5,13,3,10,80,Onuralp Bitim
1,336,40,104,28,41,22,7,8,121,Olivier-Maxence Prosper
1,814,90,229,23,26,53,33,15,252,Ben Sheppard
1,226,14,22,6,12,13,3,15,34,Ibou Badji
0,3,0,0,0,0,0,0,0,0,Malcolm Cazalon
0,52,13,20,1,2,8,2,1,29,Leonard Miller
0,4,0,1,2,2,2,1,0,2,Markquis Nowell
0,120,11,38,4,9,5,3,12,26,Mouhamadou Gueye
0,73,8,23,5,6,4,5,1,24,Mouhamed Gueye
0,113,12,34,3,3,4,3,2,32,Matthew Hurt
0,103,4,21,2,3,6,2,10,11,Maxwell Lewis
0,323,32,77,13,19,13,7,10,89,Julian Phillips
0,545,82,222,22,31,47,17,23,227,Julian Strawther
0,149,29,64,5,9,16,3,8,74,Jules Bernard
0,307,12,28,9,12,9,6,14,33,Nathan Mensah
0,28,5,9,2,2,0,0,1,13,Jordan Miller
0,22,4,7,2,2,2,0,1,12,Jordan Ford
0,66,5,16,0,0,4,1,4,11,Keyontae Johnson
0,394,37,90,1,2,25,12,9,89,Kobe Brown
0,196,34,92,4,8,27,7,10,81,Kobe Bufkin
0,7,0,4,0,0,0,0,0,0,Kaiser Gates
0,84,18,46,3,5,12,8,7,52,Terquavion Smith
0,125,6,23,1,2,5,4,2,13,Timmy Allen
0,40,8,19,1,2,5,2,3,18,Taze Moore
0,141,16,33,12,15,10,7,3,45,Sidy Cissoko
0,42,10,20,6,8,2,2,0,26,Oscar Tshiebwe
0,26,2,4,0,0,5,0,1,4,Pat Spencer
0,729,113,289,13,15,59,10,39,302,Nick Smith Jr.
0,52,4,17,3,4,0,0,1,14,Seth Lundy
0,27,1,6,0,2,0,1,1,3,Pete Nance
0,511,84,191,12,15,19,20,12,225,Sasha Vezenkov
0,289,54,112,53,71,16,8,5,173,Ricky Council IV
0,41,5,15,1,2,5,1,1,14,D'Moi Hodge
0,225,32,69,8,12,27,13,14,87,Collin Gillespie
0,59,9,16,6,6,3,2,3,24,Colin Castleton
0,192,28,71,6,11,20,7,10,64,Colby Jones
0,36,3,8,4,5,3,1,1,11,D.J. Carton
0,90,11,22,3,4,5,2,5,26,Chris Livingston
0,24,1,5,1,2,3,0,0,3,Dariq Whitehead
0,65,8,24,6,7,7,3,4,23,Amari Bailey
0,13,0,4,0,0,0,1,0,0,Andrew Funk
0,40,6,15,2,2,0,3,2,15,Alex Fudge
0,14,1,7,0,0,4,0,0,3,Adam Flagler
0,66,14,27,8,12,0,1,5,36,Adama Sanogo
0,3,0,1,0,0,0,0,0,0,Jalen Crutcher
0,109,10,45,12,20,8,3,9,34,Jalen Hood-Schifino
0,37,4,6,0,0,2,1,2,8,Jalen Slawson
0,122,15,35,3,4,21,4,9,42,Jalen Pickett
0,38,5,9,2,2,3,0,1,13,Jacob Toppin
0,67,10,30,2,4,6,2,3,29,Jett Howard
0,60,9,14,2,2,3,1,0,20,Jermaine Samuels
0,340,45,110,8,9,40,15,17,120,Jarace Walker
0,3,2,5,0,0,0,0,0,4,Izaiah Brockington
0,23,1,6,2,2,1,2,2,4,E.J. Liddell
0,133,15,49,1,4,10,1,8,41,Emoni Bates
0,10,1,2,1,2,0,0,0,3,Filip Petrušev
0,23,4,6,0,0,1,2,1,11,Drew Peterson
0,30,10,19,1,3,4,0,3,22,Dexter Dennis
0,2,0,1,0,0,0,0,0,0,Dmytro Skapintsev
0,48,8,20,0,0,2,1,2,20,Hunter Tyson
0,30,4,10,1,2,4,2,2,11,Henri Drell
0,4,1,3,0,0,0,0,0,2,Isaiah Wong
0,192,28,55,16,17,14,4,7,82,Gui Santos
