GS,MIN,FGM,FGA,FTM,FTA,AST,STL,TOV,PTS,Player,Position
0,614,83,196,17,19,30,9,12,252,A.J. Green,G
0,311,54,121,15,23,20,10,14,136,A.J. Lawson,G
73,2297,398,716,177,269,259,56,105,1013,Aaron Gordon,F
1,1269,186,417,58,63,140,42,53,514,Aaron Holiday,G
47,1995,315,635,107,137,108,65,64,877,Aaron Nesmith,F
4,1228,212,377,56,71,86,56,56,542,Aaron Wiggins,G
0,14,1,7,0,0,4,0,0,3,Adam Flagler,G
0,66,14,27,8,12,0,1,5,36,Adama Sanogo,F
0,84,10,26,0,2,7,1,5,26,Admiral Schofield,F
0,171,18,62,2,2,5,1,8,48,AJ Griffin,F
33,1740,214,419,26,30,168,38,48,562,Al Horford,C
1,1212,210,569,145,167,88,28,48,689,Alec Burks,G
0,901,160,406,121,134,68,21,32,540,Alec Burks,G
1,311,50,163,24,33,20,7,16,149,Alec Burks,G
0,405,49,121,30,41,35,15,19,146,Aleksej Pokusevski,F
0,345,45,105,28,37,30,14,16,134,Aleksej Pokusevski,F
0,60,4,16,2,4,5,1,3,12,Aleksej Pokusevski,F
57,2040,253,541,73,96,247,120,102,715,Alex Caruso,G
0,40,6,15,2,2,0,3,2,15,Alex Fudge,F
0,14,1,6,2,2,0,0,1,4,Alex Fudge,F
0,26,5,9,0,0,0,3,1,11,Alex Fudge,F
0,444,50,81,20,34,50,11,27,120,Alex Len,C
0,16,2,8,1,1,0,0,2,5,Alondes Williams,G
63,2046,527,982,244,352,312,76,162,1331,Alperen Sengun,C
0,65,8,24,6,7,7,3,4,23,Amari Bailey,G
23,1388,239,446,106,155,163,78,90,592,Amen Thompson,F
13,1460,166,352,61,71,76,41,33,463,Amir Coffey,F
10,1351,267,480,129,218,37,73,81,663,Andre Drummond,C
8,572,50,100,8,11,50,16,28,125,Andre Jackson Jr.,G
0,13,0,4,0,0,0,1,0,0,Andrew Funk,G
47,1697,260,522,45,56,280,63,101,626,Andrew Nembhard,G
59,1920,353,780,142,189,119,42,87,939,Andrew Wiggins,F
46,1582,360,837,163,178,255,23,126,1039,Anfernee Simons,G
33,1164,115,247,49,80,91,35,56,316,Anthony Black,G
76,2700,713,1283,421,516,266,91,159,1876,Anthony Davis,C
78,2770,718,1558,423,506,405,101,241,2049,Anthony Edwards,G
3,466,75,160,29,36,34,13,23,189,Anthony Gill,F
0,104,15,46,1,2,5,1,3,42,Armoni Brooks,G
1,316,29,71,14,17,54,11,30,80,Ashton Hagans,G
38,1583,232,480,71,119,120,68,84,556,Ausar Thompson,F
57,2629,457,940,232,272,450,66,174,1300,Austin Reaves,G
37,2212,360,719,85,105,242,68,103,924,Ayo Dosunmu,G
71,2416,530,1017,292,387,278,81,162,1367,Bam Adebayo,C
1,814,90,229,23,26,53,33,15,252,Ben Sheppard,G
12,359,43,74,6,15,86,12,27,92,Ben Simmons,G
19,1538,296,663,184,224,119,35,97,856,Bennedict Mathurin,F
15,1715,188,432,92,131,110,57,87,532,Bilal Coulibaly,F
27,791,74,131,26,54,53,11,42,174,Bismack Biyombo,C
27,718,67,119,22,46,51,10,38,156,Bismack Biyombo,C
0,73,7,12,4,8,2,1,4,18,Bismack Biyombo,C
3,876,102,215,52,78,166,29,55,268,Blake Wesley,G
0,71,18,34,9,14,6,1,5,45,Boban Marjanović,C
4,2008,466,918,98,124,104,68,91,1130,Bobby Portis,F
33,2401,471,1100,151,164,247,96,112,1333,Bogdan Bogdanović,G
27,1478,309,681,117,149,97,30,101,868,Bojan Bogdanović,F
27,921,199,425,81,104,71,23,63,565,Bojan Bogdanović,F
0,557,110,256,36,45,26,7,38,303,Bojan Bogdanović,F
0,469,93,151,15,19,17,10,19,223,Bol Bol,F
5,540,97,251,18,23,93,26,44,256,Bones Hyland,G
53,1767,377,735,109,134,265,52,131,964,Bradley Beal,G
28,1968,271,597,50,79,273,61,88,682,Brandin Podziemski,G
0,345,65,161,23,33,13,11,24,167,Brandon Boston Jr.,F
1,134,33,59,1,7,9,5,3,68,Brandon Clarke,F
64,2103,500,1017,246,307,363,50,163,1332,Brandon Ingram,F
68,2383,476,1083,143,173,175,66,132,1279,Brandon Miller,F
0,113,20,54,11,17,17,1,7,54,Brandon Williams,G
0,60,7,17,6,8,9,2,1,22,Braxton Key,F
11,584,85,218,37,41,55,13,47,241,Brice Sensabaugh,F
79,2411,366,755,110,134,127,43,79,990,Brook Lopez,C
44,1866,278,582,117,142,192,59,86,726,Bruce Brown,G
11,885,129,268,50,60,92,24,45,328,Bruce Brown,G
33,981,149,314,67,82,100,35,41,398,Bruce Brown,G
2,682,109,187,64,96,46,25,44,282,Bruno Fernando,C
14,882,101,230,66,85,51,21,30,302,Bryce McGowens,G
0,84,9,29,8,10,3,0,0,34,Buddy Boeheim,F
42,2160,371,850,52,59,236,70,103,1013,Buddy Hield,F
28,1336,229,517,28,33,139,43,62,623,Buddy Hield,F
14,824,142,333,24,26,97,27,41,390,Buddy Hield,G
62,2074,524,1167,238,274,464,56,212,1405,Cade Cunningham,G
13,815,80,206,21,26,29,15,16,253,Caleb Houstan,F
23,1756,241,559,77,99,143,47,77,640,Caleb Martin,F
26,984,91,234,41,54,48,47,31,260,Cam Reddish,F
51,2075,526,1190,286,334,192,45,124,1482,Cam Thomas,G
2,880,212,467,76,112,33,30,46,579,Cam Whitmore,F
47,1599,276,619,86,109,138,49,57,776,Cameron Johnson,F
10,1304,208,481,58,67,205,42,66,578,Cameron Payne,G
8,602,107,259,21,23,96,20,35,287,Cameron Payne,G
2,702,101,222,37,44,109,22,31,291,Cameron Payne,G
10,1958,345,820,154,201,346,76,117,952,Caris LeVert,G
13,1692,217,442,29,37,120,76,45,561,Cason Wallace,G
3,1269,184,384,35,52,119,36,47,489,Cedi Osman,F
0,205,29,40,5,6,21,8,15,63,Charles Bassey,C
0,37,2,10,0,0,0,0,2,6,Charlie Brown Jr.,G
