GS,MIN,FGM,FGA,FTM,FTA,AST,STL,TOV,PTS,Player,Year,Team
1,1411,144,324,79,111,39,30,45,367,A.C. Green,2000,not
1,345,53,125,4,4,22,6,9,154,A.J. Green,2022,not
8,630,78,192,15,18,64,9,24,198,A.J. Guyton,2000,not
0,163,17,42,9,20,4,1,10,48,A.J. Hammons,2016,not
0,108,22,44,2,8,2,2,3,56,A.J. Lawson,2022,not
2,865,145,354,60,75,106,35,59,410,A.J. Price,2009,not
0,608,93,225,42,49,87,13,44,264,Aaron Brooks,2007,not
8,797,93,208,44,61,33,21,38,243,Aaron Gordon,2014,not
1,613,103,204,56,99,41,21,57,262,Aaron Gray,2007,not
0,93,5,19,5,12,2,6,4,18,Aaron Harrison,2015,not
0,17,1,5,0,0,0,0,2,2,Aaron Henry,2021,not
0,646,105,262,41,50,87,21,40,294,Aaron Holiday,2018,not
0,35,3,9,1,2,1,0,1,8,Aaron Jackson,2017,not
33,2394,338,714,149,194,377,106,203,878,Aaron McKie,2000,not
0,118,6,18,4,4,24,4,11,16,Aaron Miles,2005,not
1,669,78,178,22,28,23,15,23,218,Aaron Nesmith,2020,not
35,1209,156,337,62,85,68,30,54,416,Aaron Wiggins,2021,not
25,2336,297,650,244,310,88,59,132,838,Aaron Williams,2000,not
1,522,50,149,23,39,26,15,34,146,Abdel Nader,2017,not
6,865,95,237,38,48,113,29,56,235,Acie Law,2007,not
0,111,11,37,3,4,12,2,2,30,Adam Harrington,2002,not
13,836,64,159,39,63,36,28,40,168,Adam Keefe,2000,not
0,112,12,28,2,4,4,4,2,32,Adam Mokoka,2019,not
23,2326,355,944,120,169,163,28,130,917,Adam Morrison,2006,Second
0,1,0,0,0,0,0,0,0,0,Ade Murkey,2021,not
2,368,35,92,10,15,15,8,7,99,Admiral Schofield,2019,not
37,1457,156,375,30,68,48,31,79,342,Adonal Foyle,2000,not
1,37,6,14,1,1,3,0,1,14,Adonis Thomas,2013,not
22,739,91,220,30,46,30,19,44,213,Adreian Payne,2014,not
0,377,33,97,18,24,27,18,18,93,Adrian Griffin,2000,not
0,1,1,1,0,0,0,0,0,2,Ahmad Caver,2021,not
12,1401,248,533,42,47,73,42,42,639,AJ Griffin,2022,not
38,1892,241,543,103,157,130,63,148,586,Al Harrington,2000,not
77,2540,333,668,155,212,124,60,137,821,Al Horford,2007,First
1,1051,195,369,85,135,24,22,66,475,Al Jefferson,2004,Second
31,2158,374,871,214,288,98,46,128,1005,Al Thornton,2007,First
14,1452,160,406,92,119,60,59,103,457,Al-Farouq Aminu,2010,not
7,564,75,181,33,41,32,11,32,207,Alan Anderson,2005,not
42,1810,298,671,173,271,50,51,126,769,Alan Henderson,2000,not
0,68,10,24,9,14,5,4,6,29,Alan Williams,2015,not
0,48,8,22,5,6,0,0,0,22,Alando Tucker,2007,not
0,939,153,357,104,143,55,27,51,425,Alec Burks,2011,not
